dataset,scene,method,checkpoint_path,point_cloud_path,result_path,log_path,status,stage2_train_time_sec,stage2_train_time_min,stage2_train_time_hour,train_time_source,num_benchmark_views,render_time_total_sec,render_time_per_view_sec,render_fps,render_fps_std,benchmark_resolution,benchmark_mode,peak_gpu_memory_mb,peak_torch_allocated_mb,peak_torch_reserved_mb,memory_measure_source,checkpoint_size_mb,point_cloud_size_mb,total_model_size_mb,num_gaussians,total_parameter_count,appearance_parameter_count,trainable_parameter_count_stage2,parameter_overhead_vs_3dgs30k,model_size_overhead_vs_3dgs30k_mb
DeepBlending,drjohnson,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\drjohnson\chkpnt30000.pth,<OUTPUT_ROOT>\output\drjohnson\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\drjohnson\results.json,,success,,,,unavailable,33,0.5621391,0.0170345181818,58.7043313657,0,1332x876,original_3dgs,10512,9905.62792969,10512,direct_benchmark,2139.78613377,735.399547577,735.399547577,3116277,183860343,0,0,0,0
DeepBlending,drjohnson,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\3dgs_40k_cont\train.log,success,862.3849013,14.3730816883,0.239551361472,parsed_log,33,0.5186689,0.0157172393939,63.6244047021,0,1332x876,original_3dgs,10446,9878.05615234,10446,direct_benchmark,2139.78613377,737.038566589,737.038566589,3116277,183860343,0,183860343,0,1.639019012
DeepBlending,drjohnson,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\sh_only_10k\train.log,success,909.8116744,15.1635279067,0.252725465111,parsed_log,33,0.5278566,0.0159956545455,62.5169790432,0,1332x876,original_3dgs,10516,9910.69677734,10516,direct_benchmark,2139.7860117,737.038562775,737.038562775,3116277,183860343,0,149581296,0,1.639015198
DeepBlending,drjohnson,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\app_only_10k\train.log,success,1438.8067277,23.9801121283,0.399668535472,parsed_log,33,0.5492187,0.0166429909091,60.0853539765,0,1332x876,cuda_fused,10500,10005.8032227,10500,direct_benchmark,2425.10380268,832.144130707,832.144130707,3116277,208790702,24930359,24930359,24930359,96.74458313
DeepBlending,drjohnson,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\train.log,success,1638.1180019,27.3019666983,0.455032778306,parsed_log,33,0.5502953,0.0166756151515,59.9678027415,0,1332x876,cuda_fused,10500,10005.8032227,10500,direct_benchmark,2425.10380268,832.144129753,832.144129753,3116277,208790702,24930359,174511655,24930359,96.744582176
DeepBlending,drjohnson,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\drjohnson\geofar_sh_ours\train.log,success,1638.1180019,27.3019666983,0.455032778306,parsed_log,33,1.1899817,0.0360600515152,27.7315188965,0,1332x876,torch_precompute,10836,10148.4555664,10836,direct_benchmark,2425.10380268,832.144129753,832.144129753,3116277,208790702,24930359,174511655,24930359,96.744582176
DeepBlending,playroom,3dgs_30k_baseline,<OUTPUT_ROOT>\output_ckpt30k\playroom\chkpnt30000.pth,<OUTPUT_ROOT>\output\playroom\point_cloud\iteration_30000,<OUTPUT_ROOT>\output\playroom\results.json,,success,,,,unavailable,29,0.3404298,0.0117389586207,85.1864319752,0,1264x832,original_3dgs,9932,9382.39746094,9932,direct_benchmark,1262.94763279,438.829601288,438.829601288,1839289,108518051,0,0,0,0
DeepBlending,playroom,3dgs_40k_cont,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\3dgs_40k_cont\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\3dgs_40k_cont\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\3dgs_40k_cont\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\3dgs_40k_cont\train.log,success,617.9955089,10.2999251483,0.171665419139,parsed_log,29,0.3004783,0.0103613206897,96.5127931036,0,1264x832,original_3dgs,9908,9370.95800781,9908,direct_benchmark,1262.94763279,435.016563416,435.016563416,1839289,108518051,0,108518051,0,-3.813037872
DeepBlending,playroom,sh_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\sh_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\sh_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\sh_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\sh_only_10k\train.log,success,634.3988913,10.573314855,0.17622191425,parsed_log,29,0.3065292,0.0105699724138,94.6076262881,0,1264x832,original_3dgs,9918,9374.23144531,9918,direct_benchmark,1262.94751072,435.016559601,435.016559601,1839289,108518051,0,88285872,0,-3.813041687
DeepBlending,playroom,app_only_10k,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\app_only_10k\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\app_only_10k\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\app_only_10k\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\app_only_10k\train.log,success,1036.1621461,17.2693691017,0.287822818361,parsed_log,29,0.353217,0.0121798965517,82.1025035601,0,1264x832,cuda_fused,10100,9430.3671875,10100,direct_benchmark,1431.35349751,491.151546478,491.151546478,1839289,123232506,14714455,14714455,14714455,52.32194519
DeepBlending,playroom,geofar_sh_ours,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\train.log,success,1158.2631035,19.3043850583,0.321739750972,parsed_log,29,0.3194451,0.0110153482759,90.7824223944,0,1264x832,cuda_fused,10100,9430.3671875,10100,direct_benchmark,1431.35349751,491.151545525,491.151545525,1839289,123232506,14714455,103000327,14714455,52.321944237
DeepBlending,playroom,geofar_sh_ours_torch_precompute,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\chkpnt40000.pth,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\point_cloud\iteration_40000,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\results.json,<PROJECT_ROOT>\output\paper_fairness_controls\playroom\geofar_sh_ours\train.log,success,1158.2631035,19.3043850583,0.321739750972,parsed_log,29,0.6557564,0.0226122896552,44.2237391812,0,1264x832,torch_precompute,10330,9514.27783203,10330,direct_benchmark,1431.35349751,491.151545525,491.151545525,1839289,123232506,14714455,103000327,14714455,52.321944237



